30
 1.95366328711841E+0004 1.95440924608625E-0008 1.00000000000000E+0000
 2.53976227325394E+0004 2.54140157699688E-0008 1.00000000000000E+0000
 3.30169095523012E+0004 3.30529411027017E-0008 1.00000000000000E+0000
 4.29219824179916E+0004 4.30012033877002E-0008 1.00000000000000E+0000
 5.57985771433890E+0004 5.59728475525828E-0008 1.00000000000000E+0000
 7.25381502864057E+0004 7.29218492511334E-0008 1.00000000000000E+0000
 9.42995953723274E+0004 9.51456700308043E-0008 1.00000000000000E+0000
 1.22589473984026E+0005 1.24459879345537E-0007 1.00000000000000E+0000
 1.59366316179233E+0005 1.63519318130594E-0007 1.00000000000000E+0000
 2.07176211033003E+0005 2.16467421910300E-0007 1.00000000000000E+0000
 2.69329074342904E+0005 2.90393695898180E-0007 1.00000000000000E+0000
 3.50127796645776E+0005 3.99046724724811E-0007 1.00000000000000E+0000
 4.55166135639508E+0005 5.74107565859607E-0007 1.00000000000000E+0000
 5.91715976331361E+0005 9.10511287106998E-0007 1.00000000000000E+0000
 7.69230769230769E+0005 1.88405797101115E-0006 1.00000000000000E+0000
 1.00000000000000E+0006 1.00000000000000E+0000 1.00000000000000E+0000
 1.30000000000000E+0006 1.88405797101115E-0006 1.00000000000000E+0000
 1.69000000000000E+0006 9.10511287106998E-0007 1.00000000000000E+0000
 2.19700000000000E+0006 5.74107565859607E-0007 1.00000000000000E+0000
 2.85610000000000E+0006 3.99046724724811E-0007 1.00000000000000E+0000
 3.71293000000000E+0006 2.90393695898180E-0007 1.00000000000000E+0000
 4.82680900000000E+0006 2.16467421910300E-0007 1.00000000000000E+0000
 6.27485170000000E+0006 1.63519318130594E-0007 1.00000000000000E+0000
 8.15730721000000E+0006 1.24459879345537E-0007 1.00000000000000E+0000
 1.06044993730000E+0007 9.51456700308043E-0008 1.00000000000000E+0000
 1.37858491849000E+0007 7.29218492511334E-0008 1.00000000000000E+0000
 1.79216039403700E+0007 5.59728475525828E-0008 1.00000000000000E+0000
 2.32980851224810E+0007 4.30012033877002E-0008 1.00000000000000E+0000
 3.02875106592253E+0007 3.30529411027017E-0008 1.00000000000000E+0000
 3.93737638569929E+0007 2.54140157699688E-0008 1.00000000000000E+0000
