25
 1.00E+0006 1.00E+0000 1.00E+0000
 1.00E+0006 2.09E-0001 1.00E+0000
 1.00E+0006 1.60E-0001 1.00E+0000
 1.00E+0006 8.78E-0002 1.00E+0000
 2.00E+0006 6.36E-0002 2.00E+0000
 2.00E+0006 4.29E-0002 2.00E+0000
 2.00E+0006 3.61E-0002 2.00E+0000
 3.00E+0006 3.37E-0002 3.00E+0000
 4.00E+0006 2.96E-0002 4.00E+0000
 5.00E+0006 2.74E-0002 5.00E+0000
 6.00E+0006 1.10E-0002 6.00E+0000
 7.00E+0006 1.15E-0002 7.00E+0000
 8.00E+0006 1.98E-0002 8.00E+0000
 1.72E+0007 9.10E-0003 1.72E+0001
 1.86E+0007 7.09E-0003 1.86E+0001
 1.64E+0007 6.84E-0003 1.64E+0001
 1.36E+0007 5.41E-0003 1.36E+0001
 2.44E+0007 4.52E-0003 2.44E+0001
 2.52E+0007 3.85E-0003 2.52E+0001
 3.23E+0007 3.05E-0003 3.23E+0001
 3.47E+0007 2.42E-0003 3.47E+0001
 4.97E+0007 2.64E-0003 4.97E+0001
 5.36E+0007 1.35E-0003 5.36E+0001
 6.23E+0007 1.59E-0003 6.23E+0001
 7.08E+0007 1.19E-0003 7.08E+0001
